# Time	Temperature [K]	Pressure [Pa]
1e-07	1000	1.36789e+06
2.99998e-07	1000	1.36789e+06
7.00002e-07	1000	1.36789e+06
1.50001e-06	1000	1.36789e+06
3.10003e-06	1000	1.36789e+06
6.30006e-06	1000	1.36789e+06
1.26981e-05	1000	1.36789e+06
2.54859e-05	1000	1.36789e+06
5.10616e-05	1000	1.36789e+06
9.02306e-05	1000	1.36789e+06
0.00015458	1000	1.36789e+06
0.000255043	1000	1.36789e+06
0.000355507	1000	1.36789e+06
0.00045597	1000	1.36789e+06
0.000556434	1000	1.36789e+06
0.000656897	1000	1.36789e+06
0.000757361	1000	1.36789e+06
0.000857824	1000	1.36789e+06
0.000958288	1000	1.36789e+06
0.00105875	1000	1.36789e+06
0.00115921	1000	1.36789e+06
0.00125968	1000	1.36789e+06
0.00136014	1000	1.36789e+06
0.0014606	1000	1.36789e+06
0.00156107	1000	1.36789e+06
0.00166153	1000	1.36789e+06
0.001762	1000.01	1.36789e+06
0.00186246	1000.01	1.36789e+06
0.00196292	1000.01	1.36789e+06
0.00206339	1000.01	1.36789e+06
0.00216385	1000.01	1.36789e+06
0.00226431	1000.01	1.36789e+06
0.00236478	1000.01	1.36789e+06
0.00246524	1000.01	1.36789e+06
0.0025657	1000.01	1.36789e+06
0.00266617	1000.02	1.36789e+06
0.00276663	1000.02	1.36789e+06
0.00286709	1000.02	1.36789e+06
0.00296756	1000.02	1.36789e+06
0.00306802	1000.02	1.36789e+06
0.00316848	1000.02	1.36789e+06
0.00326895	1000.02	1.36789e+06
0.00336941	1000.02	1.36789e+06
0.00346987	1000.03	1.36789e+06
0.00357034	1000.03	1.36789e+06
0.0036708	1000.03	1.36789e+06
0.00377126	1000.03	1.36789e+06
0.00387173	1000.03	1.36789e+06
0.00397219	1000.03	1.36789e+06
0.00407266	1000.03	1.36789e+06
0.00417312	1000.04	1.36789e+06
0.00427358	1000.04	1.36789e+06
0.00437405	1000.04	1.36789e+06
0.00447451	1000.04	1.36789e+06
0.00457497	1000.04	1.36789e+06
0.00467544	1000.04	1.36789e+06
0.0047759	1000.04	1.36789e+06
0.00487636	1000.05	1.36789e+06
0.00497683	1000.05	1.36789e+06
0.00507729	1000.05	1.36789e+06
0.00517775	1000.05	1.36789e+06
0.00527822	1000.05	1.36789e+06
0.00537868	1000.05	1.36789e+06
0.00547914	1000.06	1.36789e+06
0.00557961	1000.06	1.36789e+06
0.00568007	1000.06	1.36789e+06
0.00578053	1000.06	1.36789e+06
0.005881	1000.06	1.36789e+06
0.00598146	1000.06	1.36789e+06
0.00608192	1000.07	1.36789e+06
0.00618239	1000.07	1.36789e+06
0.00628285	1000.07	1.36789e+06
0.00638332	1000.07	1.36789e+06
0.00648378	1000.07	1.36789e+06
0.00658424	1000.08	1.36789e+06
0.00668471	1000.08	1.36789e+06
0.00678517	1000.08	1.36789e+06
0.00688563	1000.08	1.36789e+06
0.0069861	1000.08	1.36789e+06
0.00708656	1000.08	1.36789e+06
0.00718702	1000.09	1.36789e+06
0.00728749	1000.09	1.36789e+06
0.00738795	1000.09	1.36789e+06
0.00748841	1000.09	1.36789e+06
0.00758888	1000.09	1.36789e+06
0.00768934	1000.1	1.36789e+06
0.0077898	1000.1	1.36789e+06
0.00789027	1000.1	1.36789e+06
0.00799073	1000.1	1.36789e+06
0.00809119	1000.1	1.36789e+06
0.00819166	1000.11	1.36789e+06
0.00829212	1000.11	1.36789e+06
0.00839258	1000.11	1.36789e+06
0.00849305	1000.11	1.36789e+06
0.00859351	1000.11	1.36789e+06
0.00869397	1000.12	1.36789e+06
0.00879444	1000.12	1.36789e+06
0.0088949	1000.12	1.36789e+06
0.00899537	1000.12	1.36789e+06
0.00909583	1000.13	1.36789e+06
0.00919629	1000.13	1.36789e+06
0.00929676	1000.13	1.36789e+06
0.00939722	1000.13	1.36789e+06
0.00949768	1000.13	1.36789e+06
0.00959815	1000.14	1.36789e+06
0.00969861	1000.14	1.36789e+06
0.00979907	1000.14	1.36789e+06
0.00989954	1000.14	1.36789e+06
0.01	1000.15	1.36789e+06
0.0101	1000.15	1.36789e+06
0.0102	1000.15	1.36789e+06
0.0103	1000.15	1.36789e+06
0.0104	1000.16	1.36789e+06
0.0105	1000.16	1.36789e+06
0.0106	1000.16	1.36789e+06
0.0107	1000.16	1.36789e+06
0.0108	1000.17	1.36789e+06
0.0109	1000.17	1.36789e+06
0.011	1000.17	1.36789e+06
0.0111	1000.17	1.36789e+06
0.0112	1000.18	1.36789e+06
0.0113	1000.18	1.36789e+06
0.0114	1000.18	1.36789e+06
0.0115	1000.18	1.36789e+06
0.0116	1000.19	1.36789e+06
0.0117	1000.19	1.36789e+06
0.0118	1000.19	1.36789e+06
0.0119	1000.19	1.36789e+06
0.012	1000.2	1.36789e+06
0.0121	1000.2	1.36789e+06
0.0122	1000.2	1.36789e+06
0.0123	1000.2	1.36789e+06
0.0124	1000.21	1.36789e+06
0.0125	1000.21	1.36789e+06
0.0126	1000.21	1.36789e+06
0.0127	1000.22	1.36789e+06
0.0128	1000.22	1.36789e+06
0.0129	1000.22	1.36789e+06
0.013	1000.22	1.36789e+06
0.0131	1000.23	1.36789e+06
0.0132	1000.23	1.36789e+06
0.0133	1000.23	1.36789e+06
0.0134	1000.24	1.36789e+06
0.0135	1000.24	1.36789e+06
0.0136	1000.24	1.36789e+06
0.0137	1000.25	1.36789e+06
0.0138	1000.25	1.36789e+06
0.0139	1000.25	1.36789e+06
0.014	1000.25	1.36789e+06
0.0141	1000.26	1.36789e+06
0.0142	1000.26	1.36789e+06
0.0143	1000.26	1.36789e+06
0.0144	1000.27	1.36789e+06
0.0145	1000.27	1.36789e+06
0.0146	1000.27	1.36789e+06
0.0147	1000.28	1.36789e+06
0.0148	1000.28	1.36789e+06
0.0149	1000.28	1.36789e+06
0.015	1000.29	1.36789e+06
0.0151	1000.29	1.36789e+06
0.0152	1000.29	1.36789e+06
0.0153	1000.3	1.36789e+06
0.0154	1000.3	1.36789e+06
0.0155	1000.3	1.36789e+06
0.0156	1000.31	1.36789e+06
0.0157	1000.31	1.36789e+06
0.0158	1000.31	1.36789e+06
0.0159	1000.32	1.36789e+06
0.016	1000.32	1.36789e+06
0.0161	1000.33	1.36789e+06
0.0162	1000.33	1.36789e+06
0.0163	1000.33	1.36789e+06
0.0164	1000.34	1.36789e+06
0.0165	1000.34	1.36789e+06
0.0166	1000.34	1.36789e+06
0.0167	1000.35	1.36789e+06
0.0168	1000.35	1.36789e+06
0.0169	1000.36	1.36789e+06
0.017	1000.36	1.36789e+06
0.0171	1000.36	1.36789e+06
0.0172	1000.37	1.36789e+06
0.0173	1000.37	1.36789e+06
0.0174	1000.37	1.36789e+06
0.0175	1000.38	1.36789e+06
0.0176	1000.38	1.36789e+06
0.0177	1000.39	1.36789e+06
0.0178	1000.39	1.36789e+06
0.0179	1000.39	1.36789e+06
0.018	1000.4	1.36789e+06
0.0181	1000.4	1.36789e+06
0.0182	1000.41	1.36789e+06
0.0183	1000.41	1.36789e+06
0.0184	1000.42	1.36789e+06
0.0185	1000.42	1.36789e+06
0.0186	1000.42	1.36789e+06
0.0187	1000.43	1.36789e+06
0.0188	1000.43	1.36789e+06
0.0189	1000.44	1.36789e+06
0.019	1000.44	1.36789e+06
0.0191	1000.45	1.36789e+06
0.0192	1000.45	1.36789e+06
0.0193	1000.46	1.36789e+06
0.0194	1000.46	1.36789e+06
0.0195	1000.46	1.36789e+06
0.0196	1000.47	1.36789e+06
0.0197	1000.47	1.36789e+06
0.0198	1000.48	1.36789e+06
0.0199	1000.48	1.36789e+06
0.02	1000.49	1.36789e+06
0.0201	1000.49	1.36789e+06
0.0202	1000.5	1.36789e+06
0.0203	1000.5	1.36789e+06
0.0204	1000.51	1.36789e+06
0.0205	1000.51	1.36789e+06
0.0206	1000.52	1.36789e+06
0.0207	1000.52	1.36789e+06
0.0208	1000.53	1.36789e+06
0.0209	1000.53	1.36789e+06
0.021	1000.54	1.36789e+06
0.0211	1000.54	1.36789e+06
0.0212	1000.55	1.36789e+06
0.0213	1000.55	1.36789e+06
0.0214	1000.56	1.36789e+06
0.0215	1000.56	1.36789e+06
0.0216	1000.57	1.36789e+06
0.0217	1000.58	1.36789e+06
0.0218	1000.58	1.36789e+06
0.0219	1000.59	1.36789e+06
0.022	1000.59	1.36789e+06
0.0221	1000.6	1.36789e+06
0.0222	1000.6	1.36789e+06
0.0223	1000.61	1.36789e+06
0.0224	1000.61	1.36789e+06
0.0225	1000.62	1.36789e+06
0.0226	1000.63	1.36789e+06
0.0227	1000.63	1.36789e+06
0.0228	1000.64	1.36789e+06
0.0229	1000.64	1.36789e+06
0.023	1000.65	1.36789e+06
0.0231	1000.66	1.36789e+06
0.0232	1000.66	1.36789e+06
0.0233	1000.67	1.36789e+06
0.0234	1000.67	1.36789e+06
0.0235	1000.68	1.36789e+06
0.0236	1000.69	1.36789e+06
0.0237	1000.69	1.36789e+06
0.0238	1000.7	1.36789e+06
0.0239	1000.71	1.36789e+06
0.024	1000.71	1.36789e+06
0.0241	1000.72	1.36789e+06
0.0242	1000.72	1.36789e+06
0.0243	1000.73	1.36789e+06
0.0244	1000.74	1.36789e+06
0.0245	1000.74	1.36789e+06
0.0246	1000.75	1.36789e+06
0.0247	1000.76	1.36789e+06
0.0248	1000.77	1.36789e+06
0.0249	1000.77	1.36789e+06
0.025	1000.78	1.36789e+06
0.0251	1000.79	1.36789e+06
0.0252	1000.79	1.36789e+06
0.0253	1000.8	1.36789e+06
0.0254	1000.81	1.36789e+06
0.0255	1000.81	1.36789e+06
0.0256	1000.82	1.36789e+06
0.0257	1000.83	1.36789e+06
0.0258	1000.84	1.36789e+06
0.0259	1000.84	1.36789e+06
0.026	1000.85	1.36789e+06
0.0261	1000.86	1.36789e+06
0.0262	1000.87	1.36789e+06
0.0263	1000.87	1.36789e+06
0.0264	1000.88	1.36789e+06
0.0265	1000.89	1.36789e+06
0.0266	1000.9	1.36789e+06
0.0267	1000.91	1.36789e+06
0.0268	1000.91	1.36789e+06
0.0269	1000.92	1.36789e+06
0.027	1000.93	1.36789e+06
0.0271	1000.94	1.36789e+06
0.0272	1000.95	1.36789e+06
0.0273	1000.95	1.36789e+06
0.0274	1000.96	1.36789e+06
0.0275	1000.97	1.36789e+06
0.0276	1000.98	1.36789e+06
0.0277	1000.99	1.36789e+06
0.0278	1001	1.36789e+06
0.0279	1001.01	1.36789e+06
0.028	1001.01	1.36789e+06
0.0281	1001.02	1.36789e+06
0.0282	1001.03	1.36789e+06
0.0283	1001.04	1.36789e+06
0.0284	1001.05	1.36789e+06
0.0285	1001.06	1.36789e+06
0.0286	1001.07	1.36789e+06
0.0287	1001.08	1.36789e+06
0.0288	1001.09	1.36789e+06
0.0289	1001.1	1.36789e+06
0.029	1001.11	1.36789e+06
0.0291	1001.12	1.36789e+06
0.0292	1001.13	1.36789e+06
0.0293	1001.14	1.36789e+06
0.0294	1001.15	1.36789e+06
0.0295	1001.16	1.36789e+06
0.0296	1001.17	1.36789e+06
0.0297	1001.18	1.36789e+06
0.0298	1001.19	1.36789e+06
0.0299	1001.2	1.36789e+06
0.03	1001.21	1.36789e+06
0.0301	1001.22	1.36789e+06
0.0302	1001.23	1.36789e+06
0.0303	1001.24	1.36789e+06
0.0304	1001.25	1.36789e+06
0.0305	1001.26	1.36789e+06
0.0306	1001.27	1.36789e+06
0.0307	1001.28	1.36789e+06
0.0308	1001.29	1.36789e+06
0.0309	1001.3	1.36789e+06
0.031	1001.31	1.36789e+06
0.0311	1001.33	1.36789e+06
0.0312	1001.34	1.36789e+06
0.0313	1001.35	1.36789e+06
0.0314	1001.36	1.36789e+06
0.0315	1001.37	1.36789e+06
0.0316	1001.38	1.36789e+06
0.0317	1001.4	1.36789e+06
0.0318	1001.41	1.36789e+06
0.0319	1001.42	1.36789e+06
0.032	1001.43	1.36789e+06
0.0321	1001.44	1.36789e+06
