# Time	Temperature [K]	Pressure [Pa]
1e-07	1000	202650
2.9996e-07	1000	202650
7.0004e-07	1000	202650
1.5002e-06	1000	202650
3.09796e-06	1000	202650
6.28323e-06	1000	202650
1.15355e-05	1000	202650
1.74924e-05	1000	202650
2.54024e-05	1000	202650
3.47082e-05	1000	202650
4.5283e-05	1000	202650
5.66509e-05	1000	202650
7.37028e-05	1000	202650
8.70246e-05	1000	202650
0.000102908	1000.01	202650
0.00011709	1000.02	202650
0.000131817	1000.05	202650
0.000144967	1000.1	202650
0.000157209	1000.2	202650
0.000167922	1000.42	202650
0.000173278	1000.63	202650
0.000181246	1001.32	202650
0.000188659	1002.9	202650
0.000194647	1006.11	202650
0.000200519	1013.49	202650
0.000205773	1028.05	202650
0.0002084	1041.53	202650
0.000212187	1078.85	202650
0.000215185	1144.99	202650
0.000216684	1205.79	202650
0.000218625	1349.28	202650
0.000219595	1439.96	202650
0.000221529	1593.94	202650
0.000222496	1643.67	202650
0.000224423	1718.4	202650
0.00022825	1814.04	202650
0.000235799	1917.04	202650
0.00025134	2017.72	202650
0.000259111	2045.69	202650
0.000274166	2082.59	202650
0.000302395	2122.59	202650
0.000368264	2166.02	202650
0.000401198	2177.61	202650
0.0005	2196.63	202650
0.000666667	2211.16	202650
0.00075	2214.91	202650
0.001	2220.15	202650
