# Time	Temperature [K]	Pressure [Pa]
1e-07	800	5.06625e+06
2.9996e-07	800	5.06625e+06
7.0004e-07	800	5.06625e+06
1.5002e-06	800	5.06625e+06
3.09796e-06	800	5.06625e+06
6.28323e-06	800	5.06625e+06
1.26129e-05	800	5.06625e+06
2.25596e-05	800	5.06625e+06
3.25063e-05	800	5.06625e+06
4.2453e-05	800	5.06625e+06
5.23996e-05	800	5.06625e+06
6.23463e-05	800	5.06625e+06
7.2293e-05	800	5.06625e+06
8.22397e-05	800	5.06625e+06
9.21863e-05	800	5.06625e+06
0.000102133	800	5.06625e+06
0.00011208	800	5.06625e+06
0.000122026	800	5.06625e+06
0.000131973	800	5.06625e+06
0.00014192	800	5.06625e+06
0.000151866	800	5.06625e+06
0.000161813	800	5.06625e+06
0.00017176	800	5.06625e+06
0.000181706	800	5.06625e+06
0.000191653	800	5.06625e+06
0.0002016	800	5.06625e+06
0.000211546	800	5.06625e+06
0.000221493	800	5.06625e+06
0.00023144	800	5.06625e+06
0.000241386	800	5.06625e+06
0.000251333	800	5.06625e+06
0.00026128	800	5.06625e+06
0.000271226	800	5.06625e+06
0.000281173	800	5.06625e+06
0.00029112	800	5.06625e+06
0.000301067	800	5.06625e+06
0.000311013	800	5.06625e+06
0.00032096	800	5.06625e+06
0.000330907	800	5.06625e+06
0.000340853	800	5.06625e+06
0.0003508	800	5.06625e+06
0.000360747	800	5.06625e+06
0.000370693	800	5.06625e+06
0.00038064	800	5.06625e+06
0.000390587	800	5.06625e+06
0.000400533	800	5.06625e+06
0.00041048	800	5.06625e+06
0.000420427	800	5.06625e+06
0.000430373	800.001	5.06625e+06
0.00044032	800.001	5.06625e+06
0.000450267	800.001	5.06625e+06
0.000460213	800.001	5.06625e+06
0.00047016	800.001	5.06625e+06
0.000480107	800.001	5.06625e+06
0.000490053	800.001	5.06625e+06
0.0005	800.001	5.06625e+06
0.00051	800.001	5.06625e+06
0.00052	800.001	5.06625e+06
0.00053	800.001	5.06625e+06
0.00054	800.001	5.06625e+06
0.00055	800.001	5.06625e+06
0.00056	800.001	5.06625e+06
0.00057	800.001	5.06625e+06
0.00058	800.001	5.06625e+06
0.00059	800.001	5.06625e+06
0.0006	800.002	5.06625e+06
0.00061	800.002	5.06625e+06
0.00062	800.002	5.06625e+06
0.00063	800.002	5.06625e+06
0.00064	800.002	5.06625e+06
0.00065	800.002	5.06625e+06
0.00066	800.002	5.06625e+06
0.00067	800.002	5.06625e+06
0.00068	800.003	5.06625e+06
0.00069	800.003	5.06625e+06
0.0007	800.003	5.06625e+06
0.00071	800.003	5.06625e+06
0.00072	800.003	5.06625e+06
0.00073	800.004	5.06625e+06
0.00074	800.004	5.06625e+06
0.00075	800.004	5.06625e+06
0.00076	800.004	5.06625e+06
0.00077	800.004	5.06625e+06
0.00078	800.005	5.06625e+06
0.00079	800.005	5.06625e+06
0.0008	800.005	5.06625e+06
0.00081	800.006	5.06625e+06
0.00082	800.006	5.06625e+06
0.00083	800.006	5.06625e+06
0.00084	800.007	5.06625e+06
0.00085	800.007	5.06625e+06
0.00086	800.008	5.06625e+06
0.00087	800.008	5.06625e+06
0.00088	800.009	5.06625e+06
0.00089	800.009	5.06625e+06
0.0009	800.01	5.06625e+06
0.00091	800.01	5.06625e+06
0.00092	800.011	5.06625e+06
0.00093	800.012	5.06625e+06
0.00094	800.012	5.06625e+06
0.00095	800.013	5.06625e+06
0.00096	800.014	5.06625e+06
0.00097	800.015	5.06625e+06
0.00098	800.015	5.06625e+06
0.00099	800.016	5.06625e+06
0.001	800.017	5.06625e+06
0.00101	800.018	5.06625e+06
0.00102	800.019	5.06625e+06
0.00103	800.021	5.06625e+06
0.00104	800.022	5.06625e+06
0.00105	800.023	5.06625e+06
0.00106	800.025	5.06625e+06
0.00107	800.026	5.06625e+06
0.00108	800.028	5.06625e+06
0.00109	800.029	5.06625e+06
0.0011	800.031	5.06625e+06
0.00111	800.033	5.06625e+06
0.00112	800.035	5.06625e+06
0.00113	800.037	5.06625e+06
0.00114	800.039	5.06625e+06
0.00115	800.041	5.06625e+06
0.00116	800.044	5.06625e+06
0.00117	800.046	5.06625e+06
0.00118	800.049	5.06625e+06
0.00119	800.052	5.06625e+06
0.0012	800.055	5.06625e+06
0.00121	800.058	5.06625e+06
0.00122	800.062	5.06625e+06
0.00123	800.066	5.06625e+06
0.00124	800.069	5.06625e+06
0.00125	800.074	5.06625e+06
0.00126	800.078	5.06625e+06
0.00127	800.082	5.06625e+06
0.00128	800.087	5.06625e+06
0.00129	800.092	5.06625e+06
0.0013	800.098	5.06625e+06
0.00131	800.103	5.06625e+06
0.00132	800.109	5.06625e+06
0.00133	800.116	5.06625e+06
0.00134	800.123	5.06625e+06
0.00135	800.13	5.06625e+06
0.00136	800.137	5.06625e+06
0.00137	800.145	5.06625e+06
0.00138	800.154	5.06625e+06
0.00139	800.162	5.06625e+06
0.0014	800.172	5.06625e+06
0.00141	800.182	5.06625e+06
0.00142	800.192	5.06625e+06
0.00143	800.203	5.06625e+06
0.00144	800.214	5.06625e+06
0.00145	800.227	5.06625e+06
0.00146	800.239	5.06625e+06
0.00147	800.253	5.06625e+06
0.00148	800.267	5.06625e+06
