# Time	Temperature [K]	Pressure [Pa]
1e-07	800	5.06625e+06
3.00402e-07	800	5.06625e+06
7.01205e-07	800	5.06625e+06
1.31744e-06	800	5.06625e+06
2.31096e-06	800	5.06625e+06
3.9006e-06	800	5.06625e+06
6.20557e-06	800	5.06625e+06
8.94272e-06	800	5.06625e+06
1.30484e-05	800	5.06625e+06
2.04388e-05	800	5.06625e+06
3.02925e-05	800	5.06625e+06
4.01463e-05	800	5.06625e+06
5e-05	800	5.06625e+06
6.25e-05	800	5.06625e+06
8.125e-05	800.001	5.06625e+06
0.0001	800.003	5.06625e+06
0.000116667	800.007	5.06625e+06
0.000133333	800.015	5.06625e+06
0.00015	800.034	5.06625e+06
0.000166667	800.076	5.06625e+06
0.000183333	800.172	5.06625e+06
0.000188889	800.225	5.06625e+06
0.0002	800.387	5.06625e+06
0.000205556	800.508	5.06625e+06
0.000216667	800.878	5.06625e+06
0.000219444	801.007	5.06625e+06
0.000225556	801.364	5.06625e+06
0.000228611	801.589	5.06625e+06
0.000233958	802.077	5.06625e+06
0.000236632	802.377	5.06625e+06
0.000243316	803.34	5.06625e+06
0.000246658	803.967	5.06625e+06
0.00025	804.721	5.06625e+06
0.000257143	806.9	5.06625e+06
0.000258929	807.604	5.06625e+06
0.000262351	809.186	5.06625e+06
0.000264062	810.114	5.06625e+06
0.00026733	812.202	5.06625e+06
0.000268963	813.433	5.06625e+06
0.000272067	816.204	5.06625e+06
0.000273619	817.849	5.06625e+06
0.000276916	822.098	5.06625e+06
0.000278565	824.71	5.06625e+06
0.000282138	831.964	5.06625e+06
0.000283031	834.224	5.06625e+06
0.000284728	839.185	5.06625e+06
0.000285576	842.057	5.06625e+06
0.000287379	849.282	5.06625e+06
0.000288281	853.603	5.06625e+06
0.000289955	863.299	5.06625e+06
0.000290373	866.131	5.06625e+06
0.000291248	872.707	5.06625e+06
0.000291686	876.359	5.06625e+06
0.00029261	884.992	5.06625e+06
0.000293072	889.815	5.06625e+06
0.000294061	901.394	5.06625e+06
0.000295249	917.364	5.06625e+06
0.000295566	921.878	5.06625e+06
0.000296199	931.001	5.06625e+06
0.000296516	935.472	5.06625e+06
0.000297097	943.254	5.06625e+06
0.000298064	954.15	5.06625e+06
0.000298548	958.405	5.06625e+06
0.000299274	963.449	5.06625e+06
0.000299637	965.472	5.06625e+06
0.0003	967.24	5.06625e+06
0.000300725	970.186	5.06625e+06
0.000302174	974.683	5.06625e+06
0.000302899	976.52	5.06625e+06
0.000304326	979.666	5.06625e+06
0.000307181	984.717	5.06625e+06
0.000308608	986.772	5.06625e+06
0.000311367	990.051	5.06625e+06
0.000316886	994.647	5.06625e+06
0.000319646	996.291	5.06625e+06
0.000325717	999.049	5.06625e+06
0.000337858	1003.44	5.06625e+06
0.000343929	1005.19	5.06625e+06
0.00035	1006.92	5.06625e+06
0.0003625	1010.54	5.06625e+06
0.00038125	1016.32	5.06625e+06
0.000390625	1019.41	5.06625e+06
0.0004	1022.65	5.06625e+06
0.000416667	1028.87	5.06625e+06
0.000425	1032.23	5.06625e+06
0.00045	1043.58	5.06625e+06
0.0004625	1050.16	5.06625e+06
0.000475	1057.56	5.06625e+06
0.00048125	1061.62	5.06625e+06
0.0005	1075.78	5.06625e+06
0.00055	1145.12	5.06625e+06
0.000575	1239.92	5.06625e+06
0.000576563	1249.26	5.06625e+06
0.000579911	1271.49	5.06625e+06
0.000580784	1277.72	5.06625e+06
0.000581221	1280.91	5.06625e+06
0.000582115	1287.62	5.06625e+06
0.000583904	1301.74	5.06625e+06
0.000587928	1337.44	5.06625e+06
0.000593964	1407.62	5.06625e+06
0.000595171	1425.85	5.06625e+06
0.000597586	1471.39	5.06625e+06
0.0006	1539.46	5.06625e+06
0.000600476	1557.86	5.06625e+06
0.000601429	1605.84	5.06625e+06
0.000601667	1621.26	5.06625e+06
0.000601786	1629.79	5.06625e+06
0.000602023	1648.96	5.06625e+06
0.000602498	1700.3	5.06625e+06
0.000602617	1717.14	5.06625e+06
0.000602676	1726.5	5.06625e+06
0.000602795	1747.69	5.06625e+06
0.000602855	1759.66	5.06625e+06
0.000602974	1787.41	5.06625e+06
0.000603033	1803.43	5.06625e+06
0.000603153	1841.46	5.06625e+06
0.000603212	1863.61	5.06625e+06
0.000603331	1915.01	5.06625e+06
0.000603361	1928.73	5.06625e+06
0.00060342	1956.93	5.06625e+06
0.00060345	1970.96	5.06625e+06
0.00060351	1998.46	5.06625e+06
0.000603539	2011.56	5.06625e+06
0.000603599	2036.4	5.06625e+06
0.000603629	2048	5.06625e+06
0.000603688	2069.86	5.06625e+06
0.000603718	2080.09	5.06625e+06
0.000603778	2099.55	5.06625e+06
0.000603807	2108.77	5.06625e+06
0.000603867	2126.49	5.06625e+06
0.000603897	2134.99	5.06625e+06
0.000603956	2151.53	5.06625e+06
0.000603986	2159.55	5.06625e+06
0.000604046	2175.24	5.06625e+06
0.000604165	2205.47	5.06625e+06
0.000604225	2219.9	5.06625e+06
0.000604344	2247.87	5.06625e+06
0.000604404	2261.23	5.06625e+06
0.000604524	2286.99	5.06625e+06
0.000604583	2299.22	5.06625e+06
0.000604703	2322.53	5.06625e+06
0.000604941	2364.2	5.06625e+06
0.000605061	2382.36	5.06625e+06
0.000605298	2414.15	5.06625e+06
0.000605417	2427.81	5.06625e+06
0.000605656	2451.56	5.06625e+06
0.000606132	2487.29	5.06625e+06
0.000606371	2500.61	5.06625e+06
0.00060685	2521.32	5.06625e+06
0.000607809	2547.49	5.06625e+06
0.000609727	2573.33	5.06625e+06
0.000610686	2580.24	5.06625e+06
0.000612558	2588.5	5.06625e+06
0.000616302	2595.88	5.06625e+06
0.000623042	2600.38	5.06625e+06
0.000636521	2604.33	5.06625e+06
0.00065	2607.6	5.06625e+06
0.000675	2613.06	5.06625e+06
0.0007	2617.98	5.06625e+06
0.00075	2626.31	5.06625e+06
0.000775	2630.02	5.06625e+06
0.0007875	2631.63	5.06625e+06
0.0008	2633.19	5.06625e+06
0.000825	2636.04	5.06625e+06
0.00085	2638.64	5.06625e+06
0.0009	2642.83	5.06625e+06
0.00095	2646.73	5.06625e+06
0.001	2649.58	5.06625e+06
